id,date,statut,contexte_visite,note_globale,recommandation,verbatim
14,16/01/2024,Opposant,Avec des ados,2,Non,"Week-end à asterix, Noël des enfant... 
Perte de temps de A à Z, de l'arrivée à l'hôtel aux repas à l'hôtel comme dans le parc!! Et 1h40/2h de queue par attraction ""EN PLUS""... 
Repas, 1h d'attente pour 4 hot dog..., desserts encore congelés à l'intérieur. 
Goûter, 4 gauffres... encore congelés au centre... une HONTE!! 
Dîner à l'hôtel, 30 minutes d'attente pour être mis à table ""encore"", et ne plus avoir de choix en étant mid à table à 22h avec 2 enfants... plats restant secs, viande et poisson desséchés sous les lampes du buffet, soupe hyper reduite, salée, immangeable! Peu de desserts, même plus de galette des rois pour les enfants😓 
Le responsable de l'hôtel a été informé de notre mécontentement le premier jour, j'attends encore un retour de la direction?? 800e pour ça??? Et j'en passe!"
15,16/01/2024,Avocat,Avec des jeunes enfants,4,Oui,"Globalement j'ai apprécié mon séjour! Pas eu la possibilité de dormir dans les hôtels du parc qui étaient complets! Entrée/sortie assez rapide malgré le monde ce dernier samedi avant fermeture. Je regrette de ne pas avoir pu choisir nos pass filotomatix illimités et le certificat médical établi par mon médecin pour mes problèmes de dos n'a même pas été pris en compte pour pouvoir en acheter, on a finalement pu avoir des pass argent c'est mieux que rien.. 
Côté attraction il y en a pour tous les goûts, j'aime pour ma part les sensations fortes et j'ai beaucoup apprécié dans l'ordre toutatis, oziris, goudurix et même pégase express avec les enfants. Par contre j'ai fait tonnerre de zeus dans les 2 sens, les sensations sont là mais le manège est très désagréable ça tape tout le long, dommage!!"
16,16/01/2024,Avocat,Avec des ados,5,Oui,Bien dans l'ensemble
17,15/01/2024,Avocat,Avec des ados,5,Oui,Meilleurs manèges de ma vie!
18,15/01/2024,Avocat,Avec des ados,4,Oui,Parc très bien entretenu et disposant d’attractions variées
19,15/01/2024,Avocat,Avec des ados,4,Oui,très bon séjour
20,15/01/2024,Avocat,Avec des ados,5,Oui,"Très bon moment. Bravo pour les animations de Noël. 
Le spectacle sur glace était magique."
21,14/01/2024,Avocat,Avec des ados,4,Oui,Une saison remplie de folie au parc Astérix ! Dommage que le pass saison prémium à réduit ses avantages malheureusement ca sera sans nous la saison prochaine.
22,14/01/2024,Opposant,En couple,1,Non,"Un sejour de 2 jour devenu cauchemardesques !!! 
Horrible !! Déçu !!! Honte !!! 
Payer 307€ pour des le premier jours faire les attractions pendant les 30mn d’avance offerte par le séjour et ne plus pouvoir en faire car 85mn d’attente pour chaque attraction à partir de 11h10… après avoir payer 307 € bien sûr 2 jour nous avons dû payer 70€ pour ne pas faire la queu au 2 eme jours !! 
Et la cerise sur le gâteau 1h45 pour avoir un café avec 5 famille juste devant nounous je n’appelle sa du professionnalisme… bien sûr la crêpe et le café n’a pas suffit à nous réchauffer après 1h45 sous le froid…. 
 
Je conseil à personne ce parc, ce n’est pas possible de payer autant et ne pouvoir rien faire… 
 
Honte honte honte honte"
24,14/01/2024,Neutre,En couple,3,Oui,Parc superbes à prix abordables nous sommes fan inconditionnel de parc d'attractions asterix pas encore au niveau de Disney et europapark mais en train d'y arriver
27,14/01/2024,Avocat,Entre amis,5,Oui,"G passé une très bonne journée, malgré le monde l'attente restait correcte dans les attractions. 
Bonne idée de proposer de la tartiflette, avec qques endroits pour se réchauffer auprès de braseros c top. 
Et la forêt du père Noël était magnifique, bravo pour ce beau parcours illuminé."
28,14/01/2024,Avocat,Avec des jeunes enfants,5,Oui,La seul chose négative trop de temp à attendre pour un tour de manège 80min énorme sinon tout était parfait incroyable magnifique l’accueil génial la gentillesse l’hôtel le restaurant magnifique on était très satisfait et encore un grand merci
29,14/01/2024,Avocat,Avec des ados,5,Oui,Excellent parc d’attractions avec prestations de qualité
30,14/01/2024,Avocat,Avec des ados,4,Oui,"Superbes expériences dans ce village gaulois. Les attractions aux sensations fortes ont retenu notre attention, et il est simple de s'orienter et de choisir nos activités grâce à l'appli."
31,13/01/2024,Avocat,Avec des ados,4,Oui,"Très bon week-end en famille . Nous y sommes allés pour le Noël gaulois . Le parc était très bien décoré et l'ambiance chaleureuse. Les attractions sont très variées, il y en a pour tout les goûts. Nous avons apprécié la patinoire. Les jardins illuminés et les spectacles nous ont ravis. Le seul point négatif a été la foule déchaînée qui coure dans les allées , à l' ouverture du parc pour rejoindre l' attraction Toutatis."
32,13/01/2024,Avocat,Avec des ados,5,Oui,"C'était la première fois que je venais en saison de Noël, mon fils et moi avons adoré l'ambiance, les spectacles, le jardin merveilleux avec des décorations magnifiques, le repaire des lutins où nous avons déjeuné. 
De plus, nous avons eu un problème à Pégase express, l'attraction s'est arrêtée environ 15 mn dehors dans le froid . On a dû sortir de l'attraction en sortie de secours et les responsables nous ont proposé avec les autres participants de faire une autre attraction en coupefile, nous avons choisi Toutatis et étions ravis . Merci beaucoup. 
On renouvelera c'est certain. Bravo pour ces belles idées, continuez comme ça 😊 
Hâte de voir les nouvelles attractions 2024!"
33,13/01/2024,Avocat,Avec des jeunes enfants,4,Oui,Très bon sejour
34,13/01/2024,Avocat,Avec des jeunes enfants,5,Oui,"Cadeaux de Noël pour les enfants, c’est avec beaucoup de plaisir qu’ils ont découvert et que j’ai pu redécouvrir en famille le parc Astérix. De très beaux moments en famille au cœur du Noël Gaulois, si somptueux avec ses décorations lumineuses, l’ambiance chaleureuse des marchés de Noël et sa parade féerique sans oublier l’étincelant feux d’artifice. Sans parler de la qualité de ses spectacles exceptionnels « Quel cirque » ou encore « Dans la peau du Père Noël » ….Un séjour au cœur des Quais suspendus qui a su ravir les plus petits et les plus grands. Un restaurant aux mets diversifiés et de qualités. Quel beau prolongement des fêtes ce weekend du 6/7 janvier clap de fin de saison pour la fabuleuse équipe du Parc qui a cœur de faire plaisir! 👏😍😘 
Au plaisir de vous retrouver,MERCI"
35,13/01/2024,Avocat,Avec des ados,4,Oui,Bon moment passé au parc. Mais c’est dommage qu’il n’y avait pas beaucoup de points chauds au vi des températures froides ces derniers jours. Aussi je trouve très fortement regrettable qu’il n’y ai aucunes places de parking avec bornes de recharge pour les voitures électriques pour les visiteurs à la journée (il y en a mais seulement dans les parkings des hôtels réservées aux clients de l’hôtel). Cela est vraiment dommage en 2024 ne pas avoir pensé à en mettre !
36,13/01/2024,Avocat,Avec des ados,5,Oui,Parc très agréable pour toute la famille....
37,13/01/2024,Avocat,Entre amis,4,Oui,J'ai passé une bonne journée dans l'ensemble malgré une forte affluence.
38,13/01/2024,Avocat,Avec des ados,4,Oui,Trop trop de monde !! Des heures de file.
39,13/01/2024,Avocat,Avec des jeunes enfants,5,Oui,"Les jardins merveilleux fait de jour et de nuit tout simplement magnifique, j’ai adoré ce Noël Gaulois"
40,13/01/2024,Avocat,Avec des ados,5,Oui,Supper à refaire en famille
41,13/01/2024,Avocat,Avec des ados,5,Oui,hotel lutece parfait
42,13/01/2024,Avocat,Avec des jeunes enfants,5,Oui,Super week-end !
43,13/01/2024,Neutre,Entre amis,4,Non,Le point positif est les bonnes sensations de ce parc mais le négatif est le nombre d'attente et si on veux passer plus rapide cela reste super chère entre 10€ et 12€ la place pour chaque attraction et le parking qui coûte 20€ c'est inadmissible surtout que les parkings sont dégradé il y'a trou de partout.
44,13/01/2024,Avocat,En couple,4,Oui,"Super parc d’attraction je l’adore ! 
Mon préféré depuis des années !"
45,13/01/2024,Avocat,Seul,5,Oui,"Bonjour à toutes et à tous ! 
 
Je vous recommande vivement le parc Astérix pour cette année 2024, car de nouveaux changements et aménagements, de nouvelles attractions sont à prévoir... 
 
Nous ne seront pas déçus. ""Let's Go !!"""
46,13/01/2024,Neutre,Entre amis,3,Oui,Trop d attente
47,13/01/2024,Avocat,Avec des jeunes enfants,5,Oui,J’ai passé un très bon séjour au parc Astérix. Les employés sont toujours agréable et le personnel de l’hôtel « la cité suspendu » est toujours au petit soin!
49,13/01/2024,Avocat,En couple,5,Oui,Très bonne expérience 😁
50,13/01/2024,Avocat,Avec des ados,5,Oui,"attractions superbes des nouveautés chaque année, hotels au top"
51,13/01/2024,Avocat,Avec des ados,4,Oui,Dommage y a de trop de temps d'attente
53,13/01/2024,Avocat,Avec des ados,5,Oui,"Très bonne journée en famille, à refaire"
57,13/01/2024,Avocat,Entre amis,4,Oui,Découverte du parc pour la 1ère fois et très aimé toutes ses décorations de Noel et tous ces sapins. Bravo pour le jardin merveilleux de Noël qui est fantastique et unique. Dommage qu'il y ait peu d'endroits intérieurs pour se réchauffer quand il fait si froid (même en présence de braseros) et des attractions intérieures pour permettre de visiter le parc TOUTE l'année.
58,13/01/2024,Avocat,Avec des ados,4,Oui,"Super accueil a l hôtel et au parc 
Super ambiance grâce au deco de noel"
59,13/01/2024,Neutre,Entre amis,3,Oui,"Lors de la nocturne en octobre nous avons demandé nos pass rapidus et on a été baladé. Au final on a perdu un peu plus d’une heure à attendre la mise en service de l’application. Le Dj présent sur la zone de spectacle a clairement sauvé notre soirée ! 
En revanche, Le spectacle sur glace vu en janvier était incroyable et le spectacle aérien l’était aussi."
60,13/01/2024,Avocat,En couple,4,Oui,"Très bonne expérience, cependant je trouve que le parc pourrait être plus propre."
61,13/01/2024,Neutre,Avec des jeunes enfants,5,Non,"Avec ma fille de 8 ans et mon neveu de 25 ans nous avons passé une super journée lors du dernier jour de la féerie de Noël. Chacun a pu trouver les attractions ou activités qui lui convenait séparément ou tous ensemble. Le dîner pizza était bon, les illuminations et la parade étaient magiques ! Il n’y avait pas la foule donc on a vraiment profité jusqu’à la fermeture avec le feu d’artifice ! Juste bémol le personnel pas très impliqué, pas attentif ni très professionnel lorsqu’on les croise ou on les sollicitaient. Mais bon c’était sans doute parce que c’était le dernier jour avant fermeture…"
62,13/01/2024,Avocat,Avec des ados,5,Oui,"On a été plusieurs fois cette année 2023 en famille. Chaque visite est incroyable pour les enfants !sensation, joie et excitation sont au rendez vous."
63,13/01/2024,Avocat,Avec des ados,5,Oui,"Weekend magique, des attractions au top, l'ambiance est très chouette!!"
64,13/01/2024,Avocat,En couple,5,Oui,Super journée au parc asterix les attractions sont tout amusant et surtout attractions toutatis il est meilleur attractions du monde
65,13/01/2024,Avocat,Avec des jeunes enfants,5,Oui,"J’ai adoré, toute la famille a adoré, mes 2 enfants de 8 et 16 ans. 1ere fois que l’on vient et très bonne surprise :)"
66,12/01/2024,Avocat,Avec des ados,4,Oui,"Très bon séjour dans le parc pendant les vacances de Noël, malgré un peu d'attente pour les attractions, nous avons passé de très bon moments. 
A renouveler !"
67,12/01/2024,Avocat,Entre amis,5,Oui,"Bonjour, 
J'étais déjà venue au paravent et c'est toujours aussi plaisant, tootatis est majestueux, pour moi la meilleur attraction en sensation forte (au goûts de chacun) mais en terme de sensation vous serez comblé. 
Pour la rigolade avec mes amis on faisaient la voix de Mickey et avant chaque lancemlent d'attraction on disais par exemple( Bonne chance les amis, ou On va s'envoyer en l'air avec Mickey) et tous le monde rigolait c'était au top, et j'avais jamais autant rigolé de ma vie en 1 week-end. Merci Parc asterix."
68,12/01/2024,Avocat,En couple,5,Oui,"On a passé un super week-end en famille super parc ,on reviendra c'est certain !"
70,12/01/2024,Neutre,Entre amis,3,Oui,Toujours un plaisir de venir au parc Astérix malgré les incivilités des personnes qui ne respectent pas le règlement g intérieur du parc et aussi le respect des autres visiteurs (cigarettes et doubler dans les files d’attentes).
71,12/01/2024,Avocat,Avec des ados,4,Oui,"Les attractions sont vraiment excellentes et variées, la décorations et les spectacles étaient au dessus de mes attentes. En revanche, il y a toujours un certain nombre de personnes parmi les visiteurs qui multiplient les incivilités (dépassement dans les queues, vocabulaire utilisé très limite à proximité des enfants). J'attends davantage de rigueur, pour finalement plus de liberté et de plaisir partagé. Mais, nous avons passé une superbe journée en famille, et nous reviendrons avec grand plaisir."
72,12/01/2024,Neutre,Avec des jeunes enfants,4,Non,"Bien, mes filles de 7 et 11 ans se sont régalé. Les attractions sont très bien. 
Mais le prix des accès rapides c’est abusé. 35 e pour une attraction c’est un peu du vol. Du coup on patiente… 
Pensez à préciser que les boîtes et gobelets sont consignés svp au restaurant. Cela évitera à des personnes comme moi de ne pas se faire débarrasser la table par un inconnu qui récupère la somme des consignes. Il faut prévoir le budget c’est tout"
74,12/01/2024,Avocat,Entre amis,4,Oui,"Journée entre amis avec le projet de faire toutes les attractions à sensations fortes. Nous n'avons pas ete déçus par les attractions. Seul bémol les temps d'attente, sur la journée entière 1h30 d'attente pour au moins 3 des attractions phares du parc. Nous avons ete obligés de prendre des fast pass. 
Autre bémol, la restauration, peu de choix en hiver, beaucoup sont fermés. 
Ambiance géniale cependant !"
76,12/01/2024,Avocat,En couple,5,Oui,très bien comme d'habitude
78,12/01/2024,Avocat,En couple,5,Oui,"Une bonne équipe très accueillantes.a l'écoute des visiteurs qualités des restaurants au top 
Hôtel parfait , pas trop d'attente pour les attractions en même temps notre venus était a noel donc pas trop de monde. 
Expérience à refaire pour Halloween et Noël 
Quai de Lutèce très agréable,chambre très classe, restaurant pour réveillon très bien avec cette petite coupe de champagne offert en arrivant. 
Décor pour le parc exceptionnel avec la visite du village du père noël , et le repère des lutins qui est a refaire pour l an prochain car très agréable, l'attente vaut le coup spectacle sur glace joli , spectacle des pirates amusant, défilé gaulois très bien et feu d'artifice très bien 
Nous pensons revenir pour 2024 aux hôtel puis parc pour une nouvelle aventure avec ces nouvelles attractions merci"
79,12/01/2024,Neutre,Avec des ados,3,Oui,"En plein hiver quand il fait très froid c’était sympa les braséro installé dans le village de Noël 
J’y suis allée avec mon fils de 12 ans et on avait pris le pass argent . Moins de queue ce qui est un avantage en revanche ce n’est pas pour tout les attractions ! 
Mais seulement pour les manèges à sensations que je déteste moi personnellement !bon mon fils s’est éclaté c’est ce qui compte ! 
J’ai quand même voulu faire tonnerre de zeus qui est un vieux manège à sensation avec une structure en bois ! Je me suis tellement crispée et les virages sont tellement violents ainsi que les chutes que je me suis démontée le cou j’ai porté une minerve pendant 5 jours ! Donc à éviter absolument si vous avez plus de 40 ans et que vous avez peur !"
80,12/01/2024,Avocat,En couple,4,Oui,"Super parc, pas mal d’attraction. 
Point négatif : trop de monde et trop d’attente, minimum 1h d’attente jusqu’à 2h d’attente pour faire une attraction. 
Il devrait y avoir un système de réservation avec un nombre maximum de personne dans le parc."
81,12/01/2024,Neutre,En couple,3,Oui,"Beaucoup trop de monde, une heure au moins d’attente pour chaque attraction, ce qui fait que sur 9h au parc nous n’avons fait que 5 attraction"
82,12/01/2024,Opposant,Entre amis,1,Non,"Lorsque nous avons réservé les places à aucun moment il n'est mentionné qu'il pouvait y avoir abondance sur le parc, au total plus de 20000 personnes et 3h d'attente pour faire un tour de Toutatis, et pour finir 2h30 pour l'Oziris. Plus d'une heure d'attente pour pouvoir manger dans une dans un restaurant sur place.... 
Au final deux attractions sur la journée, soit 25 € le tour de manège, sans compter le déplacement et la restauration, c'est une honte. Pourquoi ne pas réguler le nombre de places comme les autres parcs, vendre et vendre, c'est sûr que ça remplit les caisses mais ça fait fuir le client. Au prix de la place c'est une honte."
83,12/01/2024,Neutre,Avec des ados,3,Oui,"Attractions superbes , pour les attractions à grande sensation on les a belle et bien! Par contre je n'aurai pas pensé qu'en hiver le 6 janvier il y aurait autant de visiteurs....durée d'attente bien trop longue 90 minutes pour 3 d'entre elles , sinon au moins 1 heure pour les autres, au total seulement 6 Attractions ont été réalisées pour une journée complète de présence sur le parc, donc très déçue sur ce point ."
84,12/01/2024,Avocat,Avec des ados,4,Oui,"Très bon parc mais il y avait beaucoup trop de monde. 
Exemple : 2h de queue pour tonnerre 2 Zeus et pourtant temps annoncé de 80 minutes. 
Cela a gâché la journée qui est déjà écourtée en saison hier car horaires réduits."
85,12/01/2024,Opposant,Avec des ados,2,Non,"Toutatis et Tonnerre 2 Zeus valent le détour. Pas mal d'attractions pour les petits. Parc vieillissant. Beaucoup trop de monde! Sanitaires sales. Toutefois, le personnel rencontré a été agréable."
86,12/01/2024,Avocat,Avec des ados,4,Oui,Temps d attente des attractions beaucoup trop long
89,12/01/2024,Avocat,Avec des ados,4,Oui,Superbe journée à refaire
91,12/01/2024,Neutre,Avec des ados,3,Oui,Sentiment d'insécurité dans le parc mais un magnifique parc
93,12/01/2024,Avocat,En couple,4,Oui,Séjour au top
94,12/01/2024,Avocat,Avec des ados,5,Oui,"Très beau parc, les attractions sont variées et procurent des sensations fortes. 
L hôtel les quais de lutece est vrai magique ( chambres très confortables, petit déjeuner variés). 
Rien à dire, on reviendra. 
Merci"
95,12/01/2024,Neutre,Entre amis,3,Oui,"Je trouve que le site est un peu mal foutu , avec un ami on a voulu réserver nos place pour Halloween étant donner qu’on avait le pass , et on s attendait à avoir des catégories événementiel directement sur le site , et on a jamais eu de rep de comment alors on a abandonné la nocturne d Halloween"
96,12/01/2024,Avocat,Avec des ados,5,Oui,"Nous sommes venus entre amis avec nos enfants pour un Noël gaulois et nos espérances ont été comblées. Que ce soit la décoration avec les jardins lumineux,les spectacles, les attractions, le feu d artifice, la parade gauloise, une visite au parc s impose ne serait ce que pour oser Toutatis. Nous reviendrons"
97,12/01/2024,Avocat,Avec des jeunes enfants,5,Oui,"Super journée même s'il y avait du monde, nous avons fait les spectacles, qui ont plu a toute la famille"
100,12/01/2024,Avocat,En couple,4,Oui,"Très bon moment passé au parc , des sensations fortes . 
Je recommande pour les grands comme pour les petits"
101,12/01/2024,Avocat,Avec des jeunes enfants,5,Oui,"Décorations et spectacles féeriques. 
Bravo et merci !"
104,12/01/2024,Avocat,En couple,4,Oui,Très bien
107,12/01/2024,Avocat,Avec des jeunes enfants,5,Oui,"Une excellente journée en famille, divertissement assuré pour chacun ! Les froussards comme les plus hardis !"
108,12/01/2024,Avocat,Avec des jeunes enfants,5,Oui,Rien à dire dire. Toujours une agréable journée
109,12/01/2024,Avocat,Entre amis,4,Oui,"c’était vraiment super, merci beaucoup"
110,12/01/2024,Opposant,Avec des ados,2,Non,"Plein de gens doublent dans les files, il serait bien de faire sanctionner ce type de comportement surtout lorsqu’on fait en moyenne une heure de queue par attraction. C’était ma deuxième et dernière visite."
111,12/01/2024,Opposant,Avec des jeunes enfants,2,Non,Je trouve inadmissible d’accueillir autant de monde. Nous avons pu effectuer que 4jeux pour le prix qu’on paye. Les temps d’attente sont horribles.
112,12/01/2024,Avocat,En couple,4,Oui,"Extrêmement decu du monde , nous n’étions pas au courant de la fermeture du parc et aurions aimé être courant car vu les heures d’attentes nous avons a peine fais la moitié des attractions du parc…"
113,12/01/2024,Avocat,Avec des ados,4,Oui,"Leuk park, zeer aangenaam verrast van de attracties. Wel zeer koud en weinig opties op binnen te schuilen."
114,12/01/2024,Neutre,Avec des ados,3,Oui,"Le spectacle de noël été excellent toute la famille a appréciée. Le jardin du père noël magnifique tout comme la parade . Il y’a avait un monde fou c’est dommage car l’attente pour les jeux à sensation allait jusqu’à 1h45 dans un frois glacial, difficile de circuler aussi dans le parc."
116,12/01/2024,Avocat,Entre amis,4,Oui,"Super sympa mais beaucoup trop d'attente. Mais merci pour l acceuil ,l'ambiance et la qualité des attractions ."
117,12/01/2024,Avocat,En couple,5,Oui,Très bien 👍
118,11/01/2024,Avocat,Avec des ados,5,Oui,"Superbe moment en famille ! Et mega top le Toutatis ! Une bonne déconnexion de la vie quotidienne, un beau voyage !"
120,11/01/2024,Neutre,Avec des jeunes enfants,3,Oui,"Chouette parc avec diversité d'attractions. 
Parc très propre et personnel agréable. 
Dommage que le parc manque d'éclairage."
122,11/01/2024,Avocat,Entre amis,4,Oui,Très bon séjour au parc malgré la météo. Accueil chaleureux lors de notre arrivés à l'hôtel.
123,11/01/2024,Avocat,Avec des ados,4,Oui,"Très bon parc avec des attractions variées pour petits et grands. 
Les décorations sont sympas au fil des thèmes de la saison (halloween et Noël). 
L'hôtel avec accès privilégié est agréable. 
Seul bémol la restauration avec une qualité de service et de produits très moyenne tout au long de la saison que ce soit les restaurants, snacks ou restauration rapide... Le pique-nique est de rigueur selon moi."
124,11/01/2024,Avocat,En couple,5,Oui,"On se sent chez nous....parc à taille humaine. Je n'aime pas les manèges à sensation mais d'autres animations et spectacles m'ont enchantée..... je vais organiser une journée pour les adhérents de mon association pour la période de Noël 2024. Peut-être que le Père Noël aura eu sa potion....la parade est joviale et amusante avec sa chanson ""le Père Noël rêve de potion"""
125,11/01/2024,Avocat,Avec des jeunes enfants,4,Oui,Nous avons passé un agréable séjours au parc ! L’idée de mettre des braseros partout dans le parc en hivers est super ! Parc propre et bien entretenu ! Nous reviendrons .
126,11/01/2024,Avocat,Entre amis,4,Oui,"J'adore le parc Asterix malheureusement je trouve que le service client est de plus en plus mauvais... Nous constatons tous les efforts déployés sur la déco, les spectacles ou même les attractions alors pourquoi ne pas en faire de même avec le service client... Zero geste commercial sur un Filotomatix alors que nous avons fait plus de 40 min de queue pour rien chez la Trace du Houra et 45 chez Tonnerre de Zeus suite à des pannes techniques... Leurs confrères du milieu (Mickey et Futuroscope eux le font...)."
127,11/01/2024,Avocat,Entre amis,5,Oui,Très jolie pour ambiance de Noël avec des belle décoration et spectacle .
128,11/01/2024,Avocat,Avec des jeunes enfants,4,Oui,visite en famille cela manque dans votre questionnaire
129,11/01/2024,Avocat,Avec des ados,4,Oui,"Cela faisait longtemps que nous voulions aller au parc d'attractions et nous avons apprécié notre journée. Attention certaines attractions avec la couleur violette ""famille"" secouent déjà beaucoup. Une journée c'était bien mais cela n'a pas suffit à faire toutes les attractions que l'on voulait en raison du temps passé dans les files d'attente. Les piques-niques sont permis et je les recommande car nous avons été déçus par les repas pris sur place, chers et mauvais. 
Je recommande le parc et je pense y retourner pour que les enfants fassent les attractions manquées."
130,11/01/2024,Neutre,Avec des ados,3,Non,"Expérience moyenne attractions sympa pas assez diversifier, j ai fais 2 standes crêpes = non qualifié ne sais pas rendre la monnaie,celui du chocolat chaud pas énergique du tout ! Pas agréable, pas de personnages asterix obélisque défilant dans le parc résultat bof"
131,11/01/2024,Avocat,Entre amis,4,Oui,Nous avons passé une très bonne journée et avons eu plein d'émotions ! À refaire sans hésiter.
132,11/01/2024,Avocat,Avec des ados,4,Oui,Bonne ambiance
133,11/01/2024,Avocat,Avec des ados,5,Oui,Beaucoup de sensations fortes
134,11/01/2024,Avocat,Entre amis,5,Oui,"Parc superbe 
Très amusant 
Excellent entre amis et famille"
135,11/01/2024,Avocat,En couple,5,Oui,Très simple et complet
137,11/01/2024,Avocat,Avec des jeunes enfants,5,Oui,"Très belle journée au parc, ensoleillé. Décor de Noël féerique. Le personnel vraiment sympathique. Je ne manquerais pas de revenir avec mes enfants"
138,11/01/2024,Avocat,Avec des ados,4,Oui,"Un bon moment passé en famille. Un peu compliqué d'utiliser l'application smartphone , qui est capricieuse et pas toujours fiable sur les temps d'attente et/ou la disponibilité des manèges. Quand à l'activation du Filomatix pour les grandes familles (9 filomatix) cela a été une galère sans nom, nous avons perdu quasiment 1 heure pour avoir l'intégralité sur le téléphone !"
140,11/01/2024,Avocat,Avec des ados,4,Oui,"Très satisfait de mon retour au Parc après 17 ans ! Un peu moins enclin aux sensations fortes que ma fille et sa cousine, j'ai passé un bon moment"
142,11/01/2024,Neutre,Avec des ados,3,Non,"Trop d attente pour le sam et épouse manger ou boire un café 
Journée catastrophique 5 manège de fait pas adapté au enfants entre 8 et 12 ans je suis très decu"
143,11/01/2024,Avocat,Avec des jeunes enfants,5,Oui,Nous avons été agréablement surpris par le parc ! C'était une première mais certainement pas une dernière.
144,11/01/2024,Avocat,Avec des ados,4,Oui,"Beaucoup d'attente le jour où nous sommes venus, y compris dans les restaurants. 
Dommage car les attractions proposées sont vraiment très sympa."
145,11/01/2024,Neutre,Entre amis,3,Oui,"Les temps d'attente sont extrêmement mal calculés, j'ai attendu 1h15 pour une attraction qui en indiquait 45, ce qui m'a fait perdre énormément de temps"
146,11/01/2024,Avocat,Avec des jeunes enfants,4,Oui,Très belle journée mais malheureusement gâchée en raison du peu de possibilités de se restaurer convenablement. Nous avons pu manger correctement seulement à 17h30 !
147,11/01/2024,Avocat,Avec des jeunes enfants,5,Oui,"Parfaite ambiance de Noël, et les décorations sont très jolies! Les spectacles sont magnifiques !"
148,11/01/2024,Avocat,En couple,5,Oui,"J'ai passé une année génial au parc Astérix, prendre un pass annuel était la meilleure chose a faire pour en profiter a 100%! Chaque changement de thématique est incroyable, et l'évolution du parc est juste géant! Hâte d'y retourner :)"
149,11/01/2024,Avocat,Avec des jeunes enfants,5,Oui,Toujours un plaisir de dormir dans l un des hôtels du parc. Le restaurant est très bien. Heureusement qu’on peut profiter d’une ouverture anticipée car l’attente a certaines attractions devient trop long dès l’ouverture. L’ambiance est toujours au top.👍
151,11/01/2024,Avocat,Avec des ados,5,Oui,"Parc à sensations fortes. Ambiance conviviale, parc boisé, beaux décors"
152,11/01/2024,Avocat,Avec des jeunes enfants,5,Oui,Très bon parc aussi bien les petits comme les grands
153,11/01/2024,Avocat,Avec des jeunes enfants,4,Oui,"Nous avons mangé au self à côté de la trace du Hourra. C’était une catastrophe, le personnel n’a pas géré le flux , il manquait des aliments , une queue énorme 
Très mal géré"
